date_collected,link,num,type,lean
1/21/20,https://crooksandliars.com/2020/01/even-c-span-ticked-over-impeachment,127,PE,L
1/21/20,https://www.naturalnews.com/2020-01-20-san-fran-democrat-tyrants-taxing-landlords-leaving-stores-vacant.html,128,PE,C
1/21/20,https://www.foxnews.com/us/virginia-capitol-gun-rights-rally,129,PE,C
1/21/20,https://www.huffpost.com/entry/katie-sowers-first-female-gay-coach-super-bowl_n_5e25ebf5c5b632117617c0d1?utm_campaign=hp_fb_pages&utm_source=main_fb&ncid=fcbklnkushpmg00000063&utm_medium=facebook&ir=Entertainment&guccounter=1&guce_referrer=aHR0cHM6Ly9hcHBzLmNyb3dkdGFuZ2xlLmNvbS9zbWFwcG55dS9saXN0cy8xMzAyMjc1&guce_referrer_sig=AQAAAHlDY7JuKLcaFb1J7U2k6To8Eb6WqEIcvF2UYk7n18QxQFLNlTsBlrwmkEulOWENXn6vFnEofr4KTyVO6oYXDsf8HM0X8CRIkIh35zaSFPCtWQVO8rJc7tfSAzPvT0Q0XAJ6HewH8l7avdgCZRa1IAw_caZeJuKPdZ0Ct-kgKpTd,130,H,N
1/22/20,https://www.infowars.com/leaked-french-internal-intelligence-report-claims-150-neighborhoods-held-by-radical-islamists/,131,PE,C
1/22/20,https://bipartisanreport.com/2020/01/21/schiff-opening-impeachment-trial-statement-to-go-down-in-history/,132,PE,L
1/22/20,https://www.collective-evolution.com/2020/01/22/another-supposedly-authentic-photo-of-a-ufo-the-story-behind-it/,133,H,N
1/22/20,https://www.cnbc.com/2020/01/21/cdc-to-announce-first-us-case-of-china-coronavirus-that-has-killed-6-cnn-reports.html?__source=facebook%7Cmain&fbclid=IwAR1cKn8eEKKfKLqSqfYE2nK-5kZyDLGKSSWOhUndr99vl1-L2ecI7xHv3Dg&fbclid=IwAR21zcbYAnqDt3nFWpYbZ1CZuUoq4-NxghFC_9tlgmoPUYvjnK8sEorpKNQ,134,S,N
1/22/20,https://www.cbsnews.com/news/iguana-florida-falling-weather-service-issues-alert-as-temperatures-drop-2020-01-21/,135,S,N
1/23/20,https://www.express.co.uk/news/world/1232244/coronavirus-outbreak-china-Huanggang-Wuhan-coronavirus-spread-latest,136,S,N
1/23/20,https://www.palmerreport.com/analysis/gaping-hole-donald-trump-own-impeachment-trial-strategy/24615/,137,PE,L
1/23/20,https://www.zerohedge.com/geopolitical/china-quarantines-second-city-experts-warn-its-already-too-late-stop-virus,138,S,N
1/23/20,https://nypost.com/2020/01/23/three-us-firefighters-killed-in-australia-plane-crash-while-battling-wildfires/?utm_source=NYPFacebook&sr_share=facebook&utm_medium=SocialFlow&utm_campaign=SocialFlow,139,S,N
1/23/20,https://www.theguardian.com/world/2020/jan/22/holocaust-survey-americans-pew-research-center?CMP=fb_gu&utm_medium=Social&utm_source=Facebook#Echobox=1579708533,140,PE,N
1/27/20,https://www.dcclothesline.com/2020/01/27/lawmakers-pushing-to-make-michigan-a-2nd-amendment-sanctuary-state/,141,PE,C
1/27/20,https://occupydemocrats.com/2020/01/26/damning-potential-john-bolton-ukraine-impeachment-testimony-revealed-in-early-leak-of-book-draft/,142,PE,L
1/27/20,https://worldtruth.tv/nature-science-journal-warned-about-pathogens-escaping-wuhan-level-4-biosafety-lab-bsl-4-before-coronavirus-outbreak/,143,S,U
1/27/20,https://www.washingtontimes.com/news/2020/jan/26/coronavirus-link-china-biowarfare-program-possible/,144,S,N
1/27/20,https://www.yahoo.com/news/kobe-bryants-daughter-gianna-13-205036060.html,145,H,N
1/28/20,https://www.teaparty.org/holy-moses-more-than-175000-tickets-requested-to-see-president-trump-in-new-jersey-supporters-line-up-48-hours-426092/,146,PE,C
1/28/20,https://crooksandliars.com/2020/01/joni-ernst-gives-away-ballgame-joe-biden,147,PE,L
1/28/20,https://themindunleashed.com/2020/01/death-tolls-rises-106-americans-evacuate-wuhan.html,148,S,N
1/28/20,https://www.foxnews.com/politics/trump-impeachment-defense-hunter-biden-john-bolton-senate,149,PE,C
1/28/20,https://www.nbcnews.com/news/us-news/husband-woman-who-died-crash-killed-kobe-bryant-speaks-out-n1123706?cid=sm_npd_nn_fb_ma,150,H,N
